epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
57,419.687,1.08891,0.54707,1.09909,0.91703,0.87607,0.95759,0.56546,1.49164,0.69862,1.29534,0.000440212,0.000440212,0.000440212
58,426.723,1.1134,0.56301,1.12323,0.86323,0.89136,0.94001,0.54824,1.4662,0.76853,1.29624,0.000438961,0.000438961,0.000438961
59,433.751,1.08155,0.54389,1.11309,0.8864,0.91596,0.96542,0.55431,1.50505,0.67993,1.29789,0.00043769,0.00043769,0.00043769
60,440.85,1.09221,0.56256,1.12214,0.90473,0.90928,0.97021,0.59788,1.39009,0.65112,1.23431,0.0004364,0.0004364,0.0004364
61,447.722,1.07918,0.53809,1.10727,0.83174,0.92362,0.94775,0.57803,1.39368,0.78739,1.22113,0.000435091,0.000435091,0.000435091
62,454.704,1.09711,0.54392,1.12346,0.96418,0.94058,0.98691,0.59715,1.40589,0.55827,1.22592,0.000433764,0.000433764,0.000433764
63,461.823,1.06994,0.53046,1.1111,0.92016,0.93252,0.95873,0.53724,1.56918,0.69705,1.32685,0.000432417,0.000432417,0.000432417
64,468.784,1.07807,0.52173,1.10223,0.86842,0.88255,0.95095,0.56825,1.45444,0.78579,1.2444,0.000431051,0.000431051,0.000431051
65,476.002,1.07933,0.54451,1.11815,0.92225,0.91303,0.98161,0.58419,1.46661,0.62683,1.26088,0.000429667,0.000429667,0.000429667
66,483.041,1.07758,0.54219,1.10256,0.93236,0.89745,0.97421,0.56704,1.50132,0.70652,1.27178,0.000428265,0.000428265,0.000428265
67,490.021,1.0799,0.53391,1.1125,0.93129,0.91648,0.96857,0.56153,1.49898,0.66256,1.26912,0.000426844,0.000426844,0.000426844
68,497.014,1.06753,0.52746,1.11136,0.86057,0.90303,0.93187,0.56773,1.39711,0.78994,1.23663,0.000425405,0.000425405,0.000425405
69,503.998,1.08175,0.52119,1.12246,0.85055,0.93381,0.97097,0.59567,1.38889,0.66464,1.2122,0.000423948,0.000423948,0.000423948
70,510.954,1.06221,0.52727,1.10253,0.94626,0.94958,0.98346,0.56466,1.52818,0.60304,1.27708,0.000422474,0.000422474,0.000422474
71,517.995,1.06321,0.522,1.09351,0.91404,0.90453,0.96433,0.5453,1.53835,0.69793,1.29651,0.000420982,0.000420982,0.000420982
72,525.087,1.0723,0.52961,1.09666,0.9048,0.90847,0.96236,0.58497,1.40671,0.66225,1.19898,0.000419472,0.000419472,0.000419472
73,532.185,1.07988,0.53167,1.09922,0.92192,0.88988,0.96921,0.57613,1.45363,0.66654,1.25209,0.000417945,0.000417945,0.000417945
74,539.151,1.10502,0.53315,1.11184,0.95348,0.918,0.98449,0.55803,1.53825,0.61863,1.26113,0.000416401,0.000416401,0.000416401
75,546.231,1.10133,0.51938,1.10792,0.94162,0.92277,0.97817,0.56948,1.48481,0.60437,1.24247,0.00041484,0.00041484,0.00041484
76,553.198,1.08265,0.52116,1.1174,0.91055,0.89367,0.96611,0.61767,1.34053,0.64264,1.20411,0.000413262,0.000413262,0.000413262
77,560.389,1.04612,0.53735,1.10686,0.92597,0.94108,0.98014,0.60702,1.39116,0.58844,1.20426,0.000411668,0.000411668,0.000411668
78,567.49,1.07218,0.54204,1.1078,0.92907,0.89656,0.97143,0.60176,1.3806,0.6488,1.2242,0.000410057,0.000410057,0.000410057
79,574.475,1.08942,0.52739,1.11713,0.8609,0.90619,0.94085,0.52782,1.5596,0.80561,1.29561,0.00040843,0.00040843,0.00040843
80,581.445,1.05572,0.51354,1.08724,0.87764,0.9047,0.96499,0.61573,1.30713,0.68453,1.17742,0.000406787,0.000406787,0.000406787
81,588.369,1.07055,0.50386,1.09986,0.89066,0.91396,0.97285,0.5948,1.39239,0.6577,1.21219,0.000405128,0.000405128,0.000405128
82,595.477,1.05779,0.50147,1.093,0.86451,0.89711,0.95325,0.57692,1.42217,0.75785,1.26054,0.000403453,0.000403453,0.000403453
83,602.672,1.09126,0.52348,1.12464,0.91307,0.9193,0.97935,0.57075,1.48553,0.64599,1.29176,0.000401763,0.000401763,0.000401763
84,609.764,1.0765,0.51091,1.10792,0.89693,0.94389,0.98067,0.59106,1.42949,0.62155,1.25358,0.000400057,0.000400057,0.000400057
85,616.768,1.0444,0.50511,1.08995,0.93279,0.89047,0.96925,0.60973,1.35946,0.62567,1.20317,0.000398336,0.000398336,0.000398336
86,623.848,1.04859,0.52827,1.08695,0.8859,0.85147,0.9387,0.58401,1.38721,0.78168,1.22641,0.0003966,0.0003966,0.0003966
87,630.968,1.05272,0.50895,1.09126,0.91921,0.84571,0.93,0.52906,1.52003,0.7543,1.30488,0.00039485,0.00039485,0.00039485
88,637.967,1.04623,0.51365,1.09338,0.90419,0.86968,0.95604,0.58476,1.39235,0.67729,1.21513,0.000393085,0.000393085,0.000393085
89,644.968,1.04782,0.49332,1.08295,0.93081,0.87331,0.97623,0.6293,1.29915,0.64231,1.15731,0.000391305,0.000391305,0.000391305
90,652.151,1.08117,0.52364,1.11095,0.9716,0.89361,0.98162,0.61612,1.36553,0.58618,1.20047,0.000389511,0.000389511,0.000389511
91,659.225,1.07309,0.51565,1.09865,0.96244,0.9218,0.98304,0.58471,1.45161,0.57867,1.21672,0.000387704,0.000387704,0.000387704
92,666.094,1.05947,0.51313,1.1009,0.91821,0.89714,0.95942,0.55938,1.49297,0.67368,1.27604,0.000385882,0.000385882,0.000385882
93,673.094,1.04161,0.5136,1.08264,0.92094,0.88724,0.97148,0.58074,1.42793,0.64478,1.2341,0.000384047,0.000384047,0.000384047
94,680.079,1.07041,0.5034,1.09016,0.95337,0.93099,0.98143,0.61004,1.37065,0.54721,1.18555,0.000382198,0.000382198,0.000382198
95,687.247,1.06767,0.51093,1.09932,0.91002,0.901,0.97114,0.56922,1.46869,0.65959,1.2359,0.000380336,0.000380336,0.000380336
96,694.269,1.05682,0.50075,1.10099,0.9106,0.92504,0.9744,0.57617,1.47004,0.66968,1.26678,0.000378462,0.000378462,0.000378462
97,701.396,1.0434,0.52089,1.08882,0.85281,0.92616,0.94923,0.59981,1.35314,0.71477,1.2048,0.000376574,0.000376574,0.000376574
98,708.376,1.05749,0.52258,1.08981,0.92581,0.9257,0.97164,0.57581,1.47845,0.62561,1.26649,0.000374674,0.000374674,0.000374674
99,715.342,1.03132,0.48692,1.07897,0.94472,0.93456,0.98503,0.55541,1.57104,0.61942,1.31124,0.000372761,0.000372761,0.000372761
100,722.276,1.04861,0.49944,1.09661,0.88935,0.92886,0.96207,0.56731,1.47451,0.64468,1.29267,0.000370837,0.000370837,0.000370837
101,729.284,1.06555,0.5126,1.09773,0.90595,0.93401,0.96819,0.60136,1.3785,0.60749,1.25387,0.0003689,0.0003689,0.0003689
102,736.31,1.05286,0.50437,1.09349,0.92075,0.92635,0.97998,0.61988,1.35225,0.55785,1.21018,0.000366952,0.000366952,0.000366952
103,743.521,1.05495,0.50145,1.08997,0.90358,0.92596,0.97632,0.62071,1.35741,0.61467,1.20811,0.000364992,0.000364992,0.000364992
